0^1^BH^1^26Q^Q1^A^^^NGPO02911G^^NJMFJ5866G^No^0^2023-2024^2024-2025^16^^CORRY CEMENTS ^KALOOR^^^^672^KALOOR^12TH AVENUE ^682017^^^^^^0^^^^BVNPQ2485H^ALPHA TOWERS ^ERNAKULAM ^16^^^2^AAMINA FIROZ ^PARTNER ^672^ALPHA TOWERS ^12TH AVENUE ^^7558628632^^^2^^KALOOR^ERNAKULAM ^16^682017^AAMINAF2@GMAIL.COM^AAMINAF2@GMAIL.COM^7558628632^2^^LineHash
0^2^CD^1^--Select--^27170.00^0.00^0.00^0.00^0.00^0.00^^27170.00^^^3544860^^06/05/2023^^54148^No^0.00^0.00^--Select--^^LineHash
0^3^CD^1^--Select--^27170.00^0.00^0.00^0.00^0.00^0.00^^27170.00^^^3544860^^06/06/2023^^54983^No^0.00^0.00^200^^LineHash
0^4^CD^1^--Select--^18386.00^0.00^0.00^0.00^0.00^0.00^^18386.00^^^3544860^^06/06/2023^^98412^No^0.00^0.00^200^^LineHash
0^5^CD^1^--Select--^28860.00^0.00^0.00^0.00^0.00^0.00^^28860.00^^^3544860^^06/07/2023^^95133^No^0.00^0.00^200^^LineHash
0^6^CD^1^--Select--^6047.00^0.00^0.00^0.00^0.00^0.00^^6047.00^^^3544860^^06/07/2023^^65869^No^0.00^0.00^200^^LineHash
0^7^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^1^0^^BHYFR2348J^Abhira Estates^28/04/2023^30000.00^3000.00^0.00^0.00^3000.00^^3000.00^^28/04/2023^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^8^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^2^0^^HJVPY5487M^Eden Parker ^28/04/2023^45000.00^4500.00^0.00^0.00^4500.00^^4500.00^^28/04/2023^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^9^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^3^0^^GHDPE6540W^Rudra Singh ^29/04/2023^54200.00^5420.00^0.00^0.00^5420.00^^5420.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^10^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^4^0^^GHTPS5485R^Mahima Estates Ltd.^29/04/2023^48900.00^4890.00^0.00^0.00^4890.00^^4890.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^11^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^5^0^^JHFCV9872G^Mahira Kunal ^30/04/2023^38600.00^3860.00^0.00^0.00^3860.00^^3860.00^^^--Select--^01^10.0000^--Select--^^^^^^^^^^^LineHash
0^12^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^6^0^^GHDPE6540W^Rajesh Buildings Ltd.^30/04/2023^55000.00^5500.00^0.00^0.00^5500.00^^5500.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^13^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^1^0^^JHFCV9872G^Rudra Singh ^28/05/2023^54200.00^5420.00^0.00^0.00^5420.00^^5420.00^^^--Select--^01^10.0000^--Select--^^^^^^^^^^^LineHash
0^14^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^2^0^^GHTPS5485R^Rajesh Buildings Ltd.^28/05/2023^55000.00^5500.00^0.00^0.00^5500.00^^5500.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^15^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^3^0^^XEWCE3565F^Mahira Kunal ^29/05/2023^38600.00^3860.00^0.00^0.00^3860.00^^3860.00^^^--Select--^01^10.0000^--Select--^^^^^^^^^^^LineHash
0^16^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^4^0^^HJVPY5487M^Mahima Estates Ltd.^29/05/2023^48900.00^4890.00^0.00^0.00^4890.00^^4890.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^17^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^5^0^^BHYFR2348J^Eden Parker ^30/05/2023^45000.00^4500.00^0.00^0.00^4500.00^^4500.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^18^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^6^0^^CWSCJ1668E^Abhira Estates^30/05/2023^30000.00^3000.00^0.00^0.00^3000.00^^3000.00^^^--Select--^01^10.0000^--Select--^^^^^^^^^^^LineHash
0^19^DD^1^3^--Select--^3544860^06/06/2023^98412^4JB^18386.00^0.00^0.00^18386.00^1^0^^ZQEFP5567B^Meghna & Associates Ltd.^26/05/2023^48500.00^4650.00^0.00^0.00^4650.00^^4650.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^20^DD^1^3^--Select--^3544860^06/06/2023^98412^4JB^18386.00^0.00^0.00^18386.00^2^0^^EQDFL1598A^Sherawat & Sherawat Firm^28/05/2023^52100.00^5210.00^0.00^0.00^5210.00^^5210.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^21^DD^1^3^--Select--^3544860^06/06/2023^98412^4JB^18386.00^0.00^0.00^18386.00^3^0^^CERFR5256K^Shimora Taxperts^28/05/2023^58600.00^5860.00^0.00^0.00^5860.00^^5860.00^^^--Select--^02^10.0000^--Select--^^^^^^^^^^^LineHash
0^22^DD^1^3^--Select--^3544860^06/06/2023^98412^4JA^18386.00^0.00^0.00^18386.00^4^0^^VWECS2685E^Shivangi Associates^30/05/2023^35000.00^700.00^0.00^0.00^700.00^^700.00^^^--Select--^01^2.0000^--Select--^^^^^^^^^^^LineHash
0^23^DD^1^3^--Select--^3544860^06/06/2023^98412^4JA^18386.00^0.00^0.00^18386.00^5^0^^BCEFC5465P^Rocky Techies Ltd.^30/05/2023^56000.00^1120.00^0.00^0.00^1120.00^^1120.00^^^--Select--^02^2.0000^--Select--^^^^^^^^^^^LineHash
0^24^DD^1^3^--Select--^3544860^06/06/2023^98412^4JA^18386.00^0.00^0.00^18386.00^6^0^^BHYFR2348J^Shukra Techno World^30/05/2023^42300.00^846.00^0.00^0.00^846.00^^846.00^^^--Select--^02^2.0000^--Select--^^^^^^^^^^^LineHash
