0^1^BH^1^26Q^Q1^A^^^NGPO02911G^^NJMFJ5866G^No^0^2023-2024^2024-2025^16^^CORRY CEMENTS^KALOOR^^^^672^KALOOR^12TH AVNUE^682017^^^^^^0^^^^BVNPQ2485H^ALPHA TOWER^ERNAKULAM^16^^^2^AMINA FIROZ^PARTNER^672^ALPHA TOWER^12TH AVNUE^^^^^2^^KALOOR^ERNAKULAM^16^682017^AAMINAF2@GMAIL.COM^^7558628632^2^^LineHash
0^2^CD^1^--Select--^27170.00^0.00^0.00^0.00^0.00^0.00^^27170.00^^^3544860^^06/05/2023^^54148^No^0.00^0.00^200^^LineHash
0^3^CD^1^--Select--^27170.00^0.00^0.00^0.00^0.00^0.00^^27170.00^^^3544860^^06/06/2023^^54983^No^0.00^0.00^200^^LineHash
0^4^CD^1^--Select--^18386.00^0.00^0.00^0.00^0.00^0.00^^18386.00^^^3544860^^06/06/2023^^98412^No^0.00^0.00^200^^LineHash
0^5^CD^1^--Select--^28860.00^0.00^0.00^0.00^0.00^0.00^^28860.00^^^3544860^^06/07/2023^^95133^No^0.00^0.00^200^^LineHash
0^6^CD^1^--Select--^6047.00^0.00^0.00^0.00^0.00^0.00^^6047.00^^^3544860^^06/07/2023^^65869^No^0.00^0.00^200^^LineHash
0^7^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^1^^^VWECS2685E^Abhira Estates^28/04/2023^30000.00^3000.00^0.00^0.00^3000.00^^3000.00^^28/04/2023^--Select--^01^^--Select--^^^^^^^^^^^LineHash
0^8^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^2^^^BCEFC5465P^Eden Parker ^28/04/2023^45000.00^4500.00^0.00^0.00^4500.00^^4500.00^^28/04/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^9^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^3^^^BHYFR2348J^Rudra Singh ^29/04/2023^54200.00^5420.00^0.00^0.00^5420.00^^5420.00^^28/04/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^10^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^4^^^HJVPY5487M^Mahima Estates Ltd.^29/04/2023^48900.00^4890.00^0.00^0.00^4890.00^^4890.00^^29/04/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^11^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^5^^^ZQEFP5567B^Mahira Kunal ^30/04/2023^38600.00^3860.00^0.00^0.00^3860.00^^3860.00^^28/04/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^12^DD^1^1^--Select--^3544860^06/05/2023^54148^4IB^27170.00^0.00^0.00^27170.00^6^^^EQDFL1598A^Rajesh Buildings Ltd.^30/04/2023^55000.00^5500.00^0.00^0.00^5500.00^^5500.00^^28/04/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^13^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^1^^^CERFR5256K^Rudra Singh ^28/05/2023^54200.00^5420.00^0.00^0.00^5420.00^^5420.00^^29/04/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^14^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^2^^^VWECS2685E^Rajesh Buildings Ltd.^28/05/2023^55000.00^5500.00^0.00^0.00^5500.00^^5500.00^^29/04/2023^--Select--^01^^--Select--^^^^^^^^^^^LineHash
0^15^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^3^^^GHTPS5485R^Mahira Kunal ^29/05/2023^38600.00^3860.00^0.00^0.00^3860.00^^3860.00^^30/04/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^16^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^4^^^BHYFR2348J^Mahima Estates Ltd.^29/05/2023^48900.00^4890.00^0.00^0.00^4890.00^^4890.00^^30/04/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^17^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^5^^^HJVPY5487M^Eden Parker ^30/05/2023^45000.00^4500.00^0.00^0.00^4500.00^^4500.00^^28/05/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^18^DD^1^2^--Select--^3544860^06/06/2023^54983^4IB^27170.00^0.00^0.00^27170.00^6^^^GHDPE6540W^Abhira Estates^30/05/2023^30000.00^3000.00^0.00^0.00^3000.00^^3000.00^^28/05/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
0^19^DD^1^3^--Select--^3544860^06/06/2023^98412^4JB^18386.00^0.00^0.00^18386.00^1^^^BUICF5683A^Meghna & Associates Ltd.^26/05/2023^46500.00^4650.00^0.00^0.00^4650.00^^4650.00^^29/05/2023^--Select--^--Select--^^--Select--^^^^^^^^^^^LineHash
0^20^DD^1^3^--Select--^3544860^06/06/2023^98412^4JB^18386.00^0.00^0.00^18386.00^2^^^GHTPS5485R^Sherawat & Sherawat Firm^26/05/2023^52100.00^5210.00^0.00^0.00^5210.00^^5210.00^^29/05/2023^--Select--^02^^--Select--^^^^^^^^^^^LineHash
