UAN#~#MEMBER NAME#~#GROSS WAGES#~#EPF WAGES#~#EPS WAGES#~#EDLI WAGES#~#EPF CONTRI REMITTED#~#EPS CONTRI REMITTED#~#EPF EPS DIFF REMITTED#~#NCP DAYS#~#REFUND OF ADVANCES
112345667780#~#Rohini K.R#~##~##~##~##~##~##~##~##~#
112345667781#~#Saleena Saleem#~##~##~##~##~##~##~##~##~#
112345667782#~#Veena kumar#~##~##~##~##~##~##~##~##~#
112345667783#~#Arathy M.S#~##~##~##~##~##~##~##~##~#
112345667784#~#Denny John#~##~##~##~##~##~##~##~##~#
112345667785#~#Renjima Tomy#~##~##~##~##~##~##~##~##~#
112345667786#~#Tony kuriakose#~##~##~##~##~##~##~##~##~#
112345667787#~#Sony mathew#~##~##~##~##~##~##~##~##~#
112345667788#~#Augustine M.N#~##~##~##~##~##~##~##~##~#
112345667789#~#Dinu thomas#~##~##~##~##~##~##~##~##~#
212345667782#~#Santhosh C.N#~##~##~##~##~##~##~##~##~#
212345667783#~#Karthika P.S#~##~##~##~##~##~##~##~##~#
212345667784#~#Ponny Joseph#~##~##~##~##~##~##~##~##~#
212345667785#~#John Joseph#~##~##~##~##~##~##~##~##~#
212345667786#~#Krishna kumar#~##~##~##~##~##~##~##~##~#
212345667787#~#Renju S.K#~##~##~##~##~##~##~##~##~#
212345667788#~#Sheela mohan#~##~##~##~##~##~##~##~##~#
212345667789#~#Sanooj subair#~##~##~##~##~##~##~##~##~#
212345667790#~#Vineesh vijayan#~##~##~##~##~##~##~##~##~#
212345667791#~#Jyothi krishnan#~##~##~##~##~##~##~##~##~#
212345667792#~#Dhanya varma#~##~##~##~##~##~##~##~##~#
112345667795#~#Naveen M.M#~##~##~##~##~##~##~##~##~#
112345667796#~#Sideeq Saleem#~##~##~##~##~##~##~##~##~#
112345667797#~#Ann mariya#~##~##~##~##~##~##~##~##~#
312345557781#~#Nandhana Manu#~##~##~##~##~##~##~##~##~#
312345557782#~#Saritha Sanu#~##~##~##~##~##~##~##~##~#
312345557783#~#Aishwarya K.S#~##~##~##~##~##~##~##~##~#
312345557783#~#Sumesh C.S#~##~##~##~##~##~##~##~##~#
312345557784#~#Veena Menon#~##~##~##~##~##~##~##~##~#
312345557785#~#Ramesh Vijayan#~##~##~##~##~##~##~##~##~#
422345557781#~#Ganga Ganapathy#~##~##~##~##~##~##~##~##~#
422345557780#~#Sreenivasan Madhu#~##~##~##~##~##~##~##~##~#
422345557785#~#Rimi Mathew#~##~##~##~##~##~##~##~##~#
542345667734#~#Amalu M.N#~##~##~##~##~##~##~##~##~#
