UAN,MEMBER NAME,GROSS WAGES,EPF WAGES,EPS WAGES,EDLI WAGES,EPF CONTRI REMITTED,EPS CONTRI REMITTED,EPF EPS DIFF REMITTED,NCP DAYS,REFUND OF ADVANCES
1.12346E+11,Rohini K.R,16000,15000,15000,15000,1800,1245,555,,
1.12346E+11,Saleena Saleem,13000,10000,10000,10000,1200,830,370,,
1.12346E+11,Veena kumar,20000,11000,11000,11000,1320,913,407,,
1.12346E+11,Arathy M.S,21000,9000,9000,9000,1080,747,333,,
1.12346E+11,Denny John,22000,7000,7000,7000,840,581,259,,
1.12346E+11,Renjima Tomy,20000,13000,13000,13000,1560,1079,481,,
1.12346E+11,Tony kuriakose,11000,7000,7000,7000,840,581,259,,
1.12346E+11,Sony mathew,12000,8000,8000,8000,960,664,296,,
1.12346E+11,Augustine M.N,18000,10000,10000,10000,1200,830,370,,
1.12346E+11,Dinu thomas,19000,11000,11000,11000,1320,913,407,,
2.12346E+11,Santhosh C.N,15000,13000,13000,13000,1560,1079,481,,
2.12346E+11,Karthika P.S,16000,15000,15000,15000,1800,1245,555,,
2.12346E+11,Ponny Joseph,20000,13000,13000,13000,1560,1079,481,,
2.12346E+11,John Joseph,15000,12000,12000,12000,1440,996,444,,
2.12346E+11,Krishna kumar,16000,14000,14000,14000,1680,1162,518,,
2.12346E+11,Renju S.K,11000,9000,9000,9000,1080,747,333,,
2.12346E+11,Sheela mohan,15000,7000,7000,7000,840,581,259,,
2.12346E+11,Sanooj subair,12000,9000,9000,9000,1080,747,333,,
2.12346E+11,Vineesh vijayan,14000,10000,10000,10000,1200,830,370,,
2.12346E+11,Jyothi krishnan,15000,12000,12000,12000,1440,996,444,,
2.12346E+11,Dhanya varma,13000,13000,13000,13000,1560,1079,481,,
1.12346E+11,Naveen M.M,20000,14000,14000,14000,1680,1162,518,,
1.12346E+11,Sideeq Saleem,21000,13000,13000,13000,1560,1079,481,,
1.12346E+11,Ann mariya,13000,12000,12000,12000,1440,996,444,,
3.12346E+11,Nandhana Manu,15000,10000,10000,10000,1200,830,370,,
3.12346E+11,Saritha Sanu,15000,14000,14000,14000,1680,1162,518,,
3.12346E+11,Aishwarya K.S,17000,15000,15000,15000,1800,1245,555,,
3.12346E+11,Sumesh C.S,18000,16000,16000,16000,1920,1328,592,,
3.12346E+11,Veena Menon,15000,13000,13000,13000,1560,1079,481,,
3.12346E+11,Ramesh Vijayan,15000,12000,12000,12000,1440,996,444,,
4.22346E+11,Ganga Ganapathy,14000,13000,13000,13000,1560,1079,481,,
4.22346E+11,Sreenivasan Madhu,21000,14000,14000,14000,1680,1162,518,,
4.22346E+11,Rimi Mathew,15000,12000,12000,12000,1440,996,444,,
5.42346E+11,Amalu M.N,12000,10000,10000,10000,1200,830,370,,
