UAN#~#MEMBER NAME#~#GROSS WAGES#~#EPF WAGES#~#EPS WAGES#~#EDLI WAGES#~#EPF CONTRI REMITTED#~#EPS CONTRI REMITTED#~#EPF EPS DIFF REMITTED#~#NCP DAYS#~#REFUND OF ADVANCES
112345667780Rohini K.R160001500015000150001800149.941650.06
112345667781#~#Saleena Saleem#~#13000#~#10000#~#1000010000120099.961100.04
112345667782#~#Veena kumar#~#20000#~#11000#~#11000#~#11000#~#1320#~#109.96#~#1210.04#~##~#
112345667783#~#Arathy M.S#~#21000#~#9000#~#9000#~#9000#~#1080#~#89.96#~#990.04#~##~#
112345667784#~#Denny John#~#22000#~#7000#~#7000#~#7000#~#840#~#69.97#~#770.03#~##~#
112345667785#~#Renjima Tomy#~#20000#~#13000#~#13000#~#13000#~#1560#~#129.95#~#1430.05#~##~#
112345667786#~#Tony kuriakose#~#11000#~#7000#~#7000#~#7000#~#840#~#69.97#~#770.03#~##~#
112345667787#~#Sony mathew#~#12000#~#8000#~#8000#~#8000#~#960#~#79.97#~#880.03#~##~#
112345667788#~#Augustine M.N#~#18000#~#10000#~#10000#~#10000#~#1200#~#99.96#~#1100.04#~##~#
112345667789#~#Dinu thomas#~#19000#~#11000#~#11000#~#11000#~#1320#~#109.96#~#1210.04#~##~#
212345667782#~#Santhosh C.N#~#15000#~#13000#~#13000#~#13000#~#1560#~#129.95#~#1430.05#~##~#
212345667783#~#Karthika P.S#~#16000#~#15000#~#15000#~#15000#~#1800#~#149.94#~#1650.06#~##~#
212345667784#~#Ponny Joseph#~#20000#~#13000#~#13000#~#13000#~#1560#~#129.95#~#1430.05#~##~#
212345667785#~#John Joseph#~#15000#~#12000#~#12000#~#12000#~#1440#~#119.95#~#1320.05#~##~#
212345667786#~#Krishna kumar#~#16000#~#14000#~#14000#~#14000#~#1680#~#139.94#~#1540.06#~##~#
212345667787#~#Renju S.K#~#11000#~#9000#~#9000#~#9000#~#1080#~#89.96#~#990.04#~##~#
212345667788#~#Sheela mohan#~#15000#~#7000#~#7000#~#7000#~#840#~#69.97#~#770.03#~##~#
212345667789#~#Sanooj subair#~#12000#~#9000#~#9000#~#9000#~#1080#~#89.96#~#990.04#~##~#
212345667790#~#Vineesh vijayan#~#14000#~#10000#~#10000#~#10000#~#1200#~#99.96#~#1100.04#~##~#
212345667791#~#Jyothi krishnan#~#15000#~#12000#~#12000#~#12000#~#1440#~#119.95#~#1320.05#~##~#
212345667792#~#Dhanya varma#~#13000#~#13000#~#13000#~#13000#~#1560#~#129.95#~#1430.05#~##~#
112345667795#~#Naveen M.M#~#20000#~#14000#~#14000#~#14000#~#1680#~#139.94#~#1540.06#~##~#
112345667796#~#Sideeq Saleem#~#21000#~#13000#~#13000#~#13000#~#1560#~#129.95#~#1430.05#~##~#
112345667797#~#Ann mariya#~#13000#~#12000#~#12000#~#12000#~#1440#~#119.95#~#1320.05#~##~#
